and al,al | 20c0
and al,bl | 20d8
and al,cl | 20c8
and al,dl | 20d0
and al,0xff | 24ff
and bl,ah | 20e3
and bl,bh | 20fb
and bl,ch | 20eb
and bl,dh | 20f3
and bl,al | 20c3
and bl,bl | 20db
and bl,cl | 20cb
and bl,dl | 20d3
and bl,0xff | 80e3ff
and cl,ah | 20e1
and cl,bh | 20f9
and cl,ch | 20e9
and cl,dh | 20f1
and cl,al | 20c1
and cl,bl | 20d9
and cl,cl | 20c9
and cl,dl | 20d1
and cl,0xff | 80e1ff
and dl,ah | 20e2
and dl,bh | 20fa
and dl,ch | 20ea
and dl,dh | 20f2
and dl,al | 20c2
and dl,bl | 20da
and dl,cl | 20ca
and dl,dl | 20d2
and dl,0xff | 80e2ff
or ah,ah | 08e4
or ah,bh | 08fc
or ah,ch | 08ec
or ah,dh | 08f4
or ah,al | 08c4
or ah,bl | 08dc
or ah,cl | 08cc
or ah,dl | 08d4
or ah,0xff | 80ccff
or bh,ah | 08e7
or bh,bh | 08ff
or bh,ch | 08ef
or bh,dh | 08f7
or bh,al | 08c7
or bh,bl | 08df
or bh,cl | 08cf
or bh,dl | 08d7
or bh,0xff | 80cfff
or ch,ah | 08e5
or ch,bh | 08fd
or ch,ch | 08ed
or ch,dh | 08f5
or ch,al | 08c5
or ch,bl | 08dd
or ch,cl | 08cd
or ch,dl | 08d5
or ch,0xff | 80cdff
or dh,ah | 08e6
or dh,bh | 08fe
or dh,ch | 08ee
or dh,dh | 08f6
or dh,al | 08c6
or dh,bl | 08de
or dh,cl | 08ce
or dh,dl | 08d6
or dh,0xff | 80ceff
or al,ah | 08e0
or al,bh | 08f8
or al,ch | 08e8
or al,dh | 08f0
or al,al | 08c0
or al,bl | 08d8
or al,cl | 08c8
or al,dl | 08d0
or al,0xff | 0cff
or bl,ah | 08e3
or bl,bh | 08fb
or bl,ch | 08eb
or bl,dh | 08f3
or bl,al | 08c3
or bl,bl | 08db
or bl,cl | 08cb
or bl,dl | 08d3
or bl,0xff | 80cbff
or cl,ah | 08e1
or cl,bh | 08f9
or cl,ch | 08e9
or cl,dh | 08f1
or cl,al | 08c1
or cl,bl | 08d9
or cl,cl | 08c9
or cl,dl | 08d1
or cl,0xff | 80c9ff
or dl,ah | 08e2
or dl,bh | 08fa
or dl,ch | 08ea
or dl,dh | 08f2
or dl,al | 08c2
or dl,bl | 08da
or dl,cl | 08ca
or dl,dl | 08d2
or dl,0xff | 80caff
xor ah,ah | 30e4
xor ah,bh | 30fc
xor ah,ch | 30ec
xor ah,dh | 30f4
xor ah,al | 30c4
xor ah,bl | 30dc
xor ah,cl | 30cc
xor ah,dl | 30d4
xor ah,0xff | 80f4ff
xor bh,ah | 30e7
xor bh,bh | 30ff
xor bh,ch | 30ef
xor bh,dh | 30f7
xor bh,al | 30c7
xor bh,bl | 30df
xor bh,cl | 30cf
xor bh,dl | 30d7
xor bh,0xff | 80f7ff
xor ch,ah | 30e5
xor ch,bh | 30fd
xor ch,ch | 30ed
xor ch,dh | 30f5
xor ch,al | 30c5
xor ch,bl | 30dd
xor ch,cl | 30cd
xor ch,dl | 30d5
xor ch,0xff | 80f5ff
xor dh,ah | 30e6
xor dh,bh | 30fe
xor dh,ch | 30ee
xor dh,dh | 30f6
xor dh,al | 30c6
xor dh,bl | 30de
xor dh,cl | 30ce
xor dh,dl | 30d6
xor dh,0xff | 80f6ff
xor al,ah | 30e0
xor al,bh | 30f8
xor al,ch | 30e8
xor al,dh | 30f0
xor al,al | 30c0
xor al,bl | 30d8
xor al,cl | 30c8
xor al,dl | 30d0
xor al,0xff | 34ff
xor bl,ah | 30e3
xor bl,bh | 30fb
xor bl,ch | 30eb
xor bl,dh | 30f3
xor bl,al | 30c3
xor bl,bl | 30db
xor bl,cl | 30cb
xor bl,dl | 30d3
xor bl,0xff | 80f3ff
xor cl,ah | 30e1
xor cl,bh | 30f9
xor cl,ch | 30e9
xor cl,dh | 30f1
xor cl,al | 30c1
xor cl,bl | 30d9
xor cl,cl | 30c9
xor cl,dl | 30d1
xor cl,0xff | 80f1ff
xor dl,ah | 30e2
xor dl,bh | 30fa
xor dl,ch | 30ea
xor dl,dh | 30f2
xor dl,al | 30c2
xor dl,bl | 30da
xor dl,cl | 30ca
xor dl,dl | 30d2
xor dl,0xff | 80f2ff
