
 08fa|or dl,bh 
 08fb|or bl,bh 
 08fc|or ah,bh 
 08fd|or ch,bh 
 08fe|or dh,bh 
 08ff|or bh,bh 
 0904|or [si],ax 
 0905|or [di],ax 
 0907|or [bx],ax 
 090c|or [si],cx 
 090d|or [di],cx 
 090f|or [bx],cx 
 0914|or [si],dx 
 0915|or [di],dx 
 0917|or [bx],dx 
 091c|or [si],bx 
 091d|or [di],bx 
 091f|or [bx],bx 
 0924|or [si],sp 
 0925|or [di],sp 
 0927|or [bx],sp 
 092c|or [si],bp 
 092d|or [di],bp 
 092f|or [bx],bp 
 0934|or [si],si 
 0935|or [di],si 
 0937|or [bx],si 
 093c|or [si],di 
 093d|or [di],di 
 093f|or [bx],di 
 094600|or [bp],ax 
 094e00|or [bp],cx 
 095600|or [bp],dx 
 095e00|or [bp],bx 
 096600|or [bp],sp 
 096e00|or [bp],bp 
 097600|or [bp],si 
 097e00|or [bp],di 
 09c0|or ax,ax 
 09c1|or cx,ax 
 09c2|or dx,ax 
 09c3|or bx,ax 
 09c4|or sp,ax 
 09c5|or bp,ax 
 09c6|or si,ax 
 09c7|or di,ax 
 09c8|or ax,cx 
 09c9|or cx,cx 
 09ca|or dx,cx 
 09cb|or bx,cx 
 09cc|or sp,cx 
 09cd|or bp,cx 
 09ce|or si,cx 
 09cf|or di,cx 
 09d0|or ax,dx 
 09d1|or cx,dx 
 09d2|or dx,dx 
 09d3|or bx,dx 
 09d4|or sp,dx 
 09d5|or bp,dx 
 09d6|or si,dx 
 09d7|or di,dx 
 09d8|or ax,bx 
 09d9|or cx,bx 
 09da|or dx,bx 
 09db|or bx,bx 
 09dc|or sp,bx 
 09dd|or bp,bx 
 09de|or si,bx 
 09df|or di,bx 
 09e0|or ax,sp 
 09e1|or cx,sp 
 09e2|or dx,sp 
 09e3|or bx,sp 
 09e4|or sp,sp 
 09e5|or bp,sp 
 09e6|or si,sp 
 09e7|or di,sp 
 09e8|or ax,bp 
 09e9|or cx,bp 
 09ea|or dx,bp 
 09eb|or bx,bp 
 09ec|or sp,bp 
 09ed|or bp,bp 
 09ee|or si,bp 
 09ef|or di,bp 
 09f0|or ax,si 
 09f1|or cx,si 
 09f2|or dx,si 
 09f3|or bx,si 
 09f4|or sp,si 
 09f5|or bp,si 
 09f6|or si,si 
 09f7|or di,si 
 09f8|or ax,di 
 09f9|or cx,di 
 09fa|or dx,di 
 09fb|or bx,di 
 09fc|or sp,di 
 09fd|or bp,di 
 09fe|or si,di 
 09ff|or di,di 
 0b04|or ax,[si] 
 0b05|or ax,[di] 
 0b07|or ax,[bx] 
 0b0c|or cx,[si] 
 0b0d|or cx,[di] 
 0b0f|or cx,[bx] 
 0b14|or dx,[si] 
 0b15|or dx,[di] 
 0b17|or dx,[bx] 
 0b1c|or bx,[si] 
 0b1d|or bx,[di] 
 0b1f|or bx,[bx] 
 0b24|or sp,[si] 
 0b25|or sp,[di] 
 0b27|or sp,[bx] 
 0b2c|or bp,[si] 
 0b2d|or bp,[di] 
 0b2f|or bp,[bx] 
 0b34|or si,[si] 
 0b35|or si,[di] 
 0b37|or si,[bx] 
 0b3c|or di,[si] 
 0b3d|or di,[di] 
 0b3f|or di,[bx] 
 0b4600|or ax,[bp] 
 0b4e00|or cx,[bp] 
 0b5600|or dx,[bp] 
 0b5e00|or bx,[bp] 
 0b6600|or sp,[bp] 
 0b6e00|or bp,[bp] 
 0b7600|or si,[bp] 
 0b7e00|or di,[bp] 
 0cff|or al,0xff 
 0d0010|or ax,0x1000 
 0f05|loadall286 
 0f06|clts 
 0f07|loadall 
 0f08|invd 
 0f09|wbinvd 
 0f30|wrmsr 
 0f32|rdmsr 
 0f77|emms 
 0fa2|cpuid 
 0faa|rsm 
 20c0|and al,al 
 20c1|and cl,al 
 20c2|and dl,al 
 20c3|and bl,al 
 20c4|and ah,al 
 20c5|and ch,al 
 20c6|and dh,al 
 20c7|and bh,al 
 20c8|and al,cl 
 20c9|and cl,cl 
 20ca|and dl,cl 
 20cb|and bl,cl 
 20cc|and ah,cl 
 20cd|and ch,cl 
 20ce|and dh,cl 
 20cf|and bh,cl 
 20d0|and al,dl 
 20d1|and cl,dl 
 20d2|and dl,dl 
 20d3|and bl,dl 
 20d4|and ah,dl 
 20d5|and ch,dl 
 20d6|and dh,dl 
 20d7|and bh,dl 
 20d8|and al,bl 
 20d9|and cl,bl 
 20da|and dl,bl 
 20db|and bl,bl 
 20dc|and ah,bl 
 20dd|and ch,bl 
 20de|and dh,bl 
 20df|and bh,bl 
 20e0|and al,ah 
 20e1|and cl,ah 
 20e2|and dl,ah 
 20e3|and bl,ah 
 20e4|and ah,ah 
 20e5|and ch,ah 
 20e6|and dh,ah 
 20e7|and bh,ah 
 20e8|and al,ch 
 20e9|and cl,ch 
 20ea|and dl,ch 
 20eb|and bl,ch 
 20ec|and ah,ch 
 20ed|and ch,ch 
 20ee|and dh,ch 
 20ef|and bh,ch 
 20f0|and al,dh 
 20f1|and cl,dh 
 20f2|and dl,dh 
 20f3|and bl,dh 
 20f4|and ah,dh 
 20f5|and ch,dh 
 20f6|and dh,dh 
 20f7|and bh,dh 
 20f8|and al,bh 
 20f9|and cl,bh 
 20fa|and dl,bh 
 20fb|and bl,bh 
 20fc|and ah,bh 
 20fd|and ch,bh 
 20fe|and dh,bh 
 20ff|and bh,bh 
 2104|and [si],ax 
 2105|and [di],ax 
 2107|and [bx],ax 
 210c|and [si],cx 
 210d|and [di],cx 
 210f|and [bx],cx 
 2114|and [si],dx 
 2115|and [di],dx 
 2117|and [bx],dx 
 211c|and [si],bx 
 211d|and [di],bx 
 211f|and [bx],bx 
 2124|and [si],sp 
 2125|and [di],sp 
 2127|and [bx],sp 
 212c|and [si],bp 
 212d|and [di],bp 
 212f|and [bx],bp 
 2134|and [si],si 
 2135|and [di],si 
 2137|and [bx],si 
 213c|and [si],di 
 213d|and [di],di 
 213f|and [bx],di 
 214600|and [bp],ax 
 214e00|and [bp],cx 
 215600|and [bp],dx 
 215e00|and [bp],bx 
 216600|and [bp],sp 
 216e00|and [bp],bp 
 217600|and [bp],si 
 217e00|and [bp],di 
 21c0|and ax,ax 
 21c1|and cx,ax 
 21c2|and dx,ax 
 21c3|and bx,ax 
 21c4|and sp,ax 
 21c5|and bp,ax 
 21c6|and si,ax 
 21c7|and di,ax 
 21c8|and ax,cx 
 21c9|and cx,cx 
 21ca|and dx,cx 
 21cb|and bx,cx 
 21cc|and sp,cx 
 21cd|and bp,cx 
 21ce|and si,cx 
 21cf|and di,cx 
 21d0|and ax,dx 
 21d1|and cx,dx 
 21d2|and dx,dx 
 21d3|and bx,dx 
 21d4|and sp,dx 
 21d5|and bp,dx 
 21d6|and si,dx 
 21d7|and di,dx 
 21d8|and ax,bx 
 21d9|and cx,bx 
 21da|and dx,bx 
 21db|and bx,bx 
 21dc|and sp,bx 
 21dd|and bp,bx 
 21de|and si,bx 
 21df|and di,bx 
 21e0|and ax,sp 
 21e1|and cx,sp 
 21e2|and dx,sp 
 21e3|and bx,sp 
 21e4|and sp,sp 
 21e5|and bp,sp 
 21e6|and si,sp 
 21e7|and di,sp 
 21e8|and ax,bp 
 21e9|and cx,bp 
 21ea|and dx,bp 
 21eb|and bx,bp 
 21ec|and sp,bp 
 21ed|and bp,bp 
 21ee|and si,bp 
 21ef|and di,bp 
 21f0|and ax,si 
 21f1|and cx,si 
 21f2|and dx,si 
 21f3|and bx,si 
 21f4|and sp,si 
 21f5|and bp,si 
 21f6|and si,si 
 21f7|and di,si 
 21f8|and ax,di 
 21f9|and cx,di 
 21fa|and dx,di 
 21fb|and bx,di 
 21fc|and sp,di 
 21fd|and bp,di 
 21fe|and si,di 
 21ff|and di,di 
 2304|and ax,[si] 
 2305|and ax,[di] 
 2307|and ax,[bx] 
 230c|and cx,[si] 
 230d|and cx,[di] 
 230f|and cx,[bx] 
 2314|and dx,[si] 
 2315|and dx,[di] 
 2317|and dx,[bx] 
 231c|and bx,[si] 
 231d|and bx,[di] 
 231f|and bx,[bx] 
 2324|and sp,[si] 
 2325|and sp,[di] 
 2327|and sp,[bx] 
 232c|and bp,[si] 
 232d|and bp,[di] 
 232f|and bp,[bx] 
 2334|and si,[si] 
 2335|and si,[di] 
 2337|and si,[bx] 
 233c|and di,[si] 
 233d|and di,[di] 
 233f|and di,[bx] 
 234600|and ax,[bp] 
 234e00|and cx,[bp] 
