030eff00|add cx,[0xff]
030f|add cx,[bx]
0314|add dx,[si]
0315|add dx,[di]
03160010|add dx,[0x1000]
0316ff00|add dx,[0xff]
0317|add dx,[bx]
031c|add bx,[si]
031d|add bx,[di]
031e0010|add bx,[0x1000]
031eff00|add bx,[0xff]
031f|add bx,[bx]
0324|add sp,[si]
0325|add sp,[di]
03260010|add sp,[0x1000]
0326ff00|add sp,[0xff]
0327|add sp,[bx]
032c|add bp,[si]
032d|add bp,[di]
032e0010|add bp,[0x1000]
032eff00|add bp,[0xff]
032f|add bp,[bx]
0334|add si,[si]
0335|add si,[di]
03360010|add si,[0x1000]
0336ff00|add si,[0xff]
0337|add si,[bx]
033c|add di,[si]
033d|add di,[di]
033e0010|add di,[0x1000]
033eff00|add di,[0xff]
033f|add di,[bx]
034600|add ax,[bp]
034e00|add cx,[bp]
035600|add dx,[bp]
035e00|add bx,[bp]
036600|add sp,[bp]
036e00|add bp,[bp]
037600|add si,[bp]
037e00|add di,[bp]
04ff|add al,0xff
050010|add ax,0x1000
05ff00|add ax,0xff
0804|or [si],al
0805|or [di],al
08060010|or [0x1000],al
0806ff00|or [0xff],al
0807|or [bx],al
080c|or [si],cl
080d|or [di],cl
080e0010|or [0x1000],cl
080eff00|or [0xff],cl
080f|or [bx],cl
0814|or [si],dl
0815|or [di],dl
08160010|or [0x1000],dl
0816ff00|or [0xff],dl
0817|or [bx],dl
081c|or [si],bl
081d|or [di],bl
081e0010|or [0x1000],bl
081eff00|or [0xff],bl
081f|or [bx],bl
0824|or [si],ah
0825|or [di],ah
08260010|or [0x1000],ah
0826ff00|or [0xff],ah
0827|or [bx],ah
082c|or [si],ch
082d|or [di],ch
082e0010|or [0x1000],ch
082eff00|or [0xff],ch
082f|or [bx],ch
0834|or [si],dh
0835|or [di],dh
08360010|or [0x1000],dh
0836ff00|or [0xff],dh
0837|or [bx],dh
083c|or [si],bh
083d|or [di],bh
083e0010|or [0x1000],bh
083eff00|or [0xff],bh
083f|or [bx],bh
084600|or [bp],al
084e00|or [bp],cl
085600|or [bp],dl
085e00|or [bp],bl
086600|or [bp],ah
086e00|or [bp],ch
087600|or [bp],dh
087e00|or [bp],bh
08c0|or al,al
08c1|or cl,al
08c2|or dl,al
08c3|or bl,al
08c4|or ah,al
08c5|or ch,al
08c6|or dh,al
08c7|or bh,al
08c8|or al,cl
08c9|or cl,cl
08ca|or dl,cl
08cb|or bl,cl
08cc|or ah,cl
08cd|or ch,cl
08ce|or dh,cl
08cf|or bh,cl
08d0|or al,dl
08d1|or cl,dl
08d2|or dl,dl
08d3|or bl,dl
08d4|or ah,dl
08d5|or ch,dl
08d6|or dh,dl
08d7|or bh,dl
08d8|or al,bl
08d9|or cl,bl
08da|or dl,bl
08db|or bl,bl
08dc|or ah,bl
08dd|or ch,bl
08de|or dh,bl
08df|or bh,bl
08e0|or al,ah
08e1|or cl,ah
08e2|or dl,ah
08e3|or bl,ah
08e4|or ah,ah
08e5|or ch,ah
08e6|or dh,ah
08e7|or bh,ah
08e8|or al,ch
08e9|or cl,ch
08ea|or dl,ch
08eb|or bl,ch
08ec|or ah,ch
08ed|or ch,ch
08ee|or dh,ch
08ef|or bh,ch
08f0|or al,dh
08f1|or cl,dh
08f2|or dl,dh
