add bp,si | 01f5
add bp,di | 01fd
add bp,sp | 01e5
add bp,[bx] | 032f
add bp,[si] | 032c
add bp,[di] | 032d
add bp,bp | 01ed
add bp,[bp] | 036e00
add bp,0x1000 | 81c50010
add [bp],ax | 014600
add [bp],bx | 015e00
add [bp],cx | 014e00
add [bp],dx | 015600
add [bp],si | 017600
add [bp],di | 017e00
add [bp],sp | 016600
add [bp],bp | 016e00
sub ax,ax | 29c0
sub ax,bx | 29d8
sub ax,cx | 29c8
sub ax,dx | 29d0
sub ax,si | 29f0
sub ax,di | 29f8
sub ax,sp | 29e0
sub ax,[bx] | 2b07
sub ax,[si] | 2b04
sub ax,[di] | 2b05
sub ax,bp | 29e8
sub ax,[bp] | 2b4600
sub ax,0x1000 | 2d0010
sub bx,ax | 29c3
sub bx,bx | 29db
sub bx,cx | 29cb
sub bx,dx | 29d3
sub bx,si | 29f3
sub bx,di | 29fb
sub bx,sp | 29e3
sub bx,[bx] | 2b1f
sub bx,[si] | 2b1c
sub bx,[di] | 2b1d
sub bx,bp | 29eb
sub bx,[bp] | 2b5e00
sub bx,0x1000 | 81eb0010
sub cx,ax | 29c1
sub cx,bx | 29d9
sub cx,cx | 29c9
sub cx,dx | 29d1
sub cx,si | 29f1
sub cx,di | 29f9
sub cx,sp | 29e1
sub cx,[bx] | 2b0f
sub cx,[si] | 2b0c
sub cx,[di] | 2b0d
sub cx,bp | 29e9
sub cx,[bp] | 2b4e00
sub cx,0x1000 | 81e90010
sub dx,ax | 29c2
sub dx,bx | 29da
sub dx,cx | 29ca
sub dx,dx | 29d2
sub dx,si | 29f2
sub dx,di | 29fa
sub dx,sp | 29e2
sub dx,[bx] | 2b17
sub dx,[si] | 2b14
sub dx,[di] | 2b15
sub dx,bp | 29ea
sub dx,[bp] | 2b5600
sub dx,0x1000 | 81ea0010
sub si,ax | 29c6
sub si,bx | 29de
sub si,cx | 29ce
sub si,dx | 29d6
sub si,si | 29f6
sub si,di | 29fe
sub si,sp | 29e6
sub si,[bx] | 2b37
sub si,[si] | 2b34
sub si,[di] | 2b35
sub si,bp | 29ee
sub si,[bp] | 2b7600
sub si,0x1000 | 81ee0010
sub di,ax | 29c7
sub di,bx | 29df
sub di,cx | 29cf
sub di,dx | 29d7
sub di,si | 29f7
sub di,di | 29ff
sub di,sp | 29e7
sub di,[bx] | 2b3f
sub di,[si] | 2b3c
sub di,[di] | 2b3d
sub di,bp | 29ef
sub di,[bp] | 2b7e00
sub di,0x1000 | 81ef0010
sub sp,ax | 29c4
sub sp,bx | 29dc
sub sp,cx | 29cc
sub sp,dx | 29d4
sub sp,si | 29f4
sub sp,di | 29fc
sub sp,sp | 29e4
sub sp,[bx] | 2b27
sub sp,[si] | 2b24
sub sp,[di] | 2b25
sub sp,bp | 29ec
sub sp,[bp] | 2b6600
sub sp,0x1000 | 81ec0010
sub [bx],ax | 2907
sub [bx],bx | 291f
sub [bx],cx | 290f
sub [bx],dx | 2917
sub [bx],si | 2937
sub [bx],di | 293f
sub [bx],sp | 2927
sub [bx],bp | 292f
sub [si],ax | 2904
sub [si],bx | 291c
sub [si],cx | 290c
sub [si],dx | 2914
sub [si],si | 2934
sub [si],di | 293c
sub [si],sp | 2924
sub [si],bp | 292c
sub [di],ax | 2905
sub [di],bx | 291d
sub [di],cx | 290d
sub [di],dx | 2915
sub [di],si | 2935
sub [di],di | 293d
sub [di],sp | 2925
sub [di],bp | 292d
sub bp,ax | 29c5
sub bp,bx | 29dd
sub bp,cx | 29cd
sub bp,dx | 29d5
sub bp,si | 29f5
sub bp,di | 29fd
sub bp,sp | 29e5
sub bp,[bx] | 2b2f
sub bp,[si] | 2b2c
sub bp,[di] | 2b2d
